grid_id,centroid_lat,centroid_lon
2695,39.87861803195622,-123.65147079140507
2696,39.92359137053293,-123.65372402588216
2697,39.96856600454159,-123.65598004153016
2698,40.01354196471354,-123.65823884349882
2699,40.058519281849016,-123.66050043695076
2700,40.10349798681728,-123.66276482706128
2701,40.1484781105573,-123.6650320190184
2702,40.19345968407809,-123.66730201802312
2703,40.23844273845896,-123.6695748292892
2704,40.28342730485016,-123.67185045804337
2705,40.32841341447303,-123.67412890952528
2706,40.37340109862058,-123.6764101889876
2707,40.41839038865794,-123.678694301696
2708,40.46338131602262,-123.68098125292929
2709,40.50837391222505,-123.68327104797936
2710,40.55336820884892,-123.6855636921512
2711,40.59836423755163,-123.68785919076304
2712,40.64336203006483,-123.69015754914643
2713,40.68836161819465,-123.69245877264608
2714,40.73336303382232,-123.69476286662004
2715,40.77836630890445,-123.6970698364398
2716,40.82337147547344,-123.69937968749016
2717,40.86837856563815,-123.70169242516938
2718,40.91338761158413,-123.70400805488929
2719,40.95839864557412,-123.70632658207516
2720,41.00341169994852,-123.70864801216584
2721,41.048426807125765,-123.71097235061386
2722,41.09344399960285,-123.71329960288534
2723,41.13846330995584,-123.71562977446013
2724,41.18348477084013,-123.71796287083176
