date,lat,lon,confidence
2023-07-08,37.88511,-121.18679,66
2023-07-08,37.9495,-122.40051,66
2023-07-08,37.945,-122.39676,66
2023-07-08,37.60003,-120.60749,66
2023-07-08,37.45634,-121.93495,66
2023-07-08,37.13585,-120.32014,66
2023-07-08,36.35133,-119.59048,66
2023-07-08,36.35138,-119.59215,66
2023-07-08,34.62355,-117.10302,66
2023-07-08,34.6229,-117.09885,66
2023-07-08,34.88595,-118.88906,66
2023-07-08,34.88261,-118.88999,66
2023-07-08,34.88324,-118.89449,66
2023-07-08,34.88197,-118.88549,66
2023-07-08,34.87926,-118.89089,66
2023-07-08,34.82122,-118.75726,66
2023-07-08,34.82,-118.74871,66
2023-07-08,34.6092,-117.33713,66
2023-07-08,34.56683,-118.15385,66
2023-07-08,34.35305,-116.85329,66
2023-07-08,34.42891,-118.64509,66
2023-07-08,34.33635,-118.51743,66
2023-07-08,34.33363,-118.52233,66
2023-07-08,34.33302,-118.51815,66
2023-07-08,34.32422,-118.5286,66
2023-07-08,34.31844,-118.51254,66
2023-07-08,34.14145,-117.42852,66
2023-07-08,34.24413,-118.3802,66
2023-07-08,34.29065,-118.8038,66
2023-07-08,34.11636,-117.92651,66
2023-07-08,34.15316,-118.19434,66
2023-07-08,34.10419,-118.48105,66
2023-07-08,33.87698,-116.99857,66
2023-07-08,34.03485,-118.10632,66
2023-07-08,33.79292,-117.47691,66
2023-07-08,38.03192,-119.93573,66
2023-07-08,38.03717,-119.92351,66
2023-07-08,38.03521,-119.93652,66
2023-07-08,38.03784,-119.94166,90
2023-07-08,38.04045,-119.92431,66
2023-07-08,38.03719,-119.94599,66
2023-07-08,38.04178,-119.9381,66
2023-07-08,38.04113,-119.94244,66
2023-07-08,38.04048,-119.94677,66
2023-07-08,38.04572,-119.93454,66
2023-07-08,38.04507,-119.93887,66
2023-07-08,38.50097,-121.72533,66
2023-07-08,39.65415,-121.79013,66
2023-07-08,39.66886,-121.82708,66
2023-07-08,39.66813,-121.83159,66
2023-07-09,38.0462,-119.94054,66
2023-07-09,38.04562,-119.93327,66
2023-07-09,38.04051,-119.92714,66
2023-07-09,38.03596,-119.92816,66
2023-07-09,38.04631,-119.93595,66
2023-07-09,38.04171,-119.93626,66
2023-07-09,38.04111,-119.92923,66
2023-07-09,38.03607,-119.92449,66
2023-07-09,38.01385,-122.11475,66
2023-07-09,37.99288,-121.86525,66
2023-07-09,37.76101,-119.56664,66
2023-07-09,37.95245,-122.39956,66
2023-07-09,35.42589,-119.41328,66
2023-07-09,35.42157,-119.41388,66
2023-07-09,35.42205,-119.41886,66
2023-07-09,34.62307,-117.10181,66
2023-07-09,34.60746,-117.33448,66
2023-07-09,34.43234,-118.64424,66
2023-07-09,34.42828,-118.6451,66
2023-07-09,34.33348,-118.51922,66
2023-07-09,34.32046,-118.51281,66
2023-07-09,34.2941,-118.80435,66
2023-07-09,34.24466,-118.3827,66
2023-07-09,34.15551,-118.19672,66
2023-07-09,34.07903,-117.50216,66
2023-07-09,34.15339,-118.19208,66
2023-07-09,33.7934,-117.47356,66
2023-07-09,33.85356,-118.33124,66
2023-07-09,38.04272,-119.93668,66
2023-07-09,38.04714,-119.93913,66
2023-07-09,38.04557,-119.9341,66
2023-07-09,37.76172,-119.56293,66
2023-07-09,38.0313,-119.93777,66
2023-07-09,38.03708,-119.92755,66
2023-07-09,38.03493,-119.93884,66
2023-07-09,38.03961,-119.92501,66
2023-07-09,40.73839,-123.0069,66
2023-07-10,38.04898,-119.92896,66
2023-07-10,35.42301,-119.41587,66
2023-07-10,34.60727,-117.33576,66
