LAT,LON,WS10M,DATE
42.0,-121.25,2.49,2020-06-01
42.0,-120.625,2.5,2020-06-01
42.0,-120.0,2.84,2020-06-01
32.5,-119.375,8.18,2020-06-02
32.5,-118.75,7.7,2020-06-02
32.5,-118.125,5.58,2020-06-02
32.5,-117.5,3.55,2020-06-02
32.5,-116.875,2.35,2020-06-02
32.5,-116.25,3.2,2020-06-02
32.5,-115.625,2.27,2020-06-02
32.5,-115.0,3.48,2020-06-02
32.5,-114.375,4.98,2020-06-02
33.0,-119.375,8.26,2020-06-02
33.0,-118.75,7.59,2020-06-02
33.0,-118.125,4.52,2020-06-02
33.0,-117.5,2.89,2020-06-02
33.0,-116.875,2.33,2020-06-02
33.0,-116.25,2.64,2020-06-02
33.0,-115.625,1.76,2020-06-02
33.0,-115.0,3.07,2020-06-02
33.0,-114.375,3.95,2020-06-02
33.5,-119.375,7.14,2020-06-02
33.5,-118.75,5.31,2020-06-02
33.5,-118.125,2.89,2020-06-02
33.5,-117.5,2.56,2020-06-02
33.5,-116.875,2.14,2020-06-02
33.5,-116.25,2.32,2020-06-02
33.5,-115.625,2.0,2020-06-02
33.5,-115.0,3.1,2020-06-02
33.5,-114.375,3.62,2020-06-02
34.0,-119.375,3.47,2020-06-02
34.0,-118.75,2.56,2020-06-02
34.0,-118.125,2.29,2020-06-02
34.0,-117.5,2.23,2020-06-02
34.0,-116.875,2.73,2020-06-02
34.0,-116.25,2.9,2020-06-02
34.0,-115.625,2.53,2020-06-02
34.0,-115.0,2.54,2020-06-02
34.0,-114.375,3.0,2020-06-02
34.5,-119.375,2.6,2020-06-02
34.5,-118.75,3.02,2020-06-02
34.5,-118.125,2.85,2020-06-02
34.5,-117.5,2.69,2020-06-02
34.5,-116.875,3.06,2020-06-02
34.5,-116.25,3.07,2020-06-02
34.5,-115.625,2.69,2020-06-02
34.5,-115.0,2.48,2020-06-02
34.5,-114.375,2.73,2020-06-02
35.0,-119.375,2.18,2020-06-02
35.0,-118.75,3.2,2020-06-02
35.0,-118.125,3.51,2020-06-02
35.0,-117.5,2.92,2020-06-02
35.0,-116.875,2.64,2020-06-02
35.0,-116.25,1.91,2020-06-02
35.0,-115.625,2.44,2020-06-02
35.0,-115.0,2.88,2020-06-02
35.0,-114.375,2.88,2020-06-02
35.5,-119.375,2.82,2020-06-02
35.5,-118.75,2.37,2020-06-02
35.5,-118.125,3.84,2020-06-02
35.5,-117.5,3.28,2020-06-02
35.5,-116.875,2.6,2020-06-02
35.5,-116.25,2.14,2020-06-02
35.5,-115.625,2.59,2020-06-02
35.5,-115.0,2.91,2020-06-02
35.5,-114.375,3.01,2020-06-02
36.0,-119.375,2.65,2020-06-02
36.0,-118.75,2.76,2020-06-02
36.0,-118.125,3.28,2020-06-02
36.0,-117.5,3.04,2020-06-02
36.0,-116.875,2.5,2020-06-02
36.0,-116.25,2.96,2020-06-02
36.0,-115.625,2.98,2020-06-02
36.0,-115.0,2.32,2020-06-02
36.0,-114.375,2.72,2020-06-02
36.5,-119.375,2.02,2020-06-02
36.5,-118.75,2.16,2020-06-02
36.5,-118.125,3.03,2020-06-02
36.5,-117.5,2.95,2020-06-02
36.5,-116.875,2.89,2020-06-02
36.5,-116.25,3.36,2020-06-02
36.5,-115.625,3.0,2020-06-02
36.5,-115.0,2.85,2020-06-02
36.5,-114.375,2.91,2020-06-02
37.0,-119.375,1.99,2020-06-02
37.0,-118.75,2.5,2020-06-02
37.0,-118.125,2.75,2020-06-02
37.0,-117.5,3.76,2020-06-02
37.0,-116.875,3.64,2020-06-02
37.0,-116.25,3.67,2020-06-02
37.0,-115.625,3.56,2020-06-02
37.0,-115.0,3.0,2020-06-02
37.0,-114.375,3.2,2020-06-02
37.5,-119.375,2.26,2020-06-02
37.5,-118.75,2.67,2020-06-02
37.5,-118.125,2.94,2020-06-02
37.5,-117.5,4.24,2020-06-02
37.5,-116.875,4.64,2020-06-02
37.5,-116.25,3.86,2020-06-02
37.5,-115.625,3.88,2020-06-02
37.5,-115.0,3.94,2020-06-02
37.5,-114.375,3.81,2020-06-02
38.0,-119.375,2.65,2020-06-02
38.0,-118.75,1.84,2020-06-02
38.0,-118.125,2.9,2020-06-02
38.0,-117.5,4.01,2020-06-02
38.0,-116.875,4.51,2020-06-02
38.0,-116.25,4.34,2020-06-02
38.0,-115.625,4.02,2020-06-02
38.0,-115.0,4.48,2020-06-02
38.0,-114.375,4.57,2020-06-02
38.5,-119.375,2.16,2020-06-02
38.5,-118.75,1.38,2020-06-02
38.5,-118.125,2.46,2020-06-02
38.5,-117.5,4.21,2020-06-02
38.5,-116.875,4.77,2020-06-02
38.5,-116.25,4.94,2020-06-02
38.5,-115.625,4.49,2020-06-02
38.5,-115.0,4.7,2020-06-02
38.5,-114.375,4.79,2020-06-02
39.0,-119.375,1.38,2020-06-02
39.0,-118.75,1.5,2020-06-02
39.0,-118.125,2.37,2020-06-02
39.0,-117.5,3.44,2020-06-02
39.0,-116.875,4.22,2020-06-02
39.0,-116.25,4.85,2020-06-02
39.0,-115.625,5.13,2020-06-02
39.0,-115.0,4.71,2020-06-02
39.0,-114.375,4.23,2020-06-02
39.5,-119.375,1.56,2020-06-02
39.5,-118.75,1.68,2020-06-02
39.5,-118.125,2.3,2020-06-02
39.5,-117.5,3.07,2020-06-02
39.5,-116.875,3.67,2020-06-02
39.5,-116.25,4.11,2020-06-02
39.5,-115.625,4.32,2020-06-02
