LAT,LON,T2M,DATE,PS,WS10M,PRECTOTCORR,RH2M
33.0,-120.625,15.22,2020-06-02,101.5,8.33,0.0,91.54
33.0,-120.0,15.3,2020-06-02,101.43,8.7,0.0,91.53
33.5,-124.375,15.93,2020-06-02,101.8,7.83,0.21,84.16
33.5,-123.75,15.87,2020-06-02,101.75,7.56,0.18,85.64
33.5,-123.125,15.71,2020-06-02,101.7,7.48,0.06,86.64
33.5,-122.5,15.5,2020-06-02,101.64,7.6,0.0,88.48
33.5,-121.875,15.39,2020-06-02,101.59,7.93,0.0,90.3
33.5,-121.25,15.18,2020-06-02,101.53,8.09,0.0,91.54
33.5,-120.625,14.82,2020-06-02,101.44,8.38,0.01,92.73
33.5,-120.0,15.09,2020-06-02,101.37,8.78,0.0,92.49
34.0,-124.375,15.7,2020-06-02,101.79,8.25,0.12,85.35
34.0,-123.75,15.6,2020-06-02,101.73,7.93,0.15,87.04
34.0,-123.125,15.42,2020-06-02,101.68,7.71,0.05,88.17
34.0,-122.5,15.13,2020-06-02,101.62,7.63,0.0,89.96
34.0,-121.875,15.06,2020-06-02,101.56,7.88,0.0,91.56
34.0,-121.25,14.8,2020-06-02,101.49,7.83,0.0,92.92
34.0,-120.625,14.56,2020-06-02,101.32,7.75,0.01,93.26
34.0,-120.0,16.1,2020-06-02,100.8,6.32,0.03,84.18
34.5,-124.375,15.33,2020-06-02,101.78,8.51,0.07,86.61
34.5,-123.75,15.21,2020-06-02,101.71,8.11,0.06,88.22
34.5,-123.125,15.14,2020-06-02,101.65,7.82,0.02,89.54
34.5,-122.5,14.93,2020-06-02,101.59,7.61,0.0,91.24
34.5,-121.875,14.81,2020-06-02,101.53,7.78,0.01,92.85
34.5,-121.25,14.51,2020-06-02,101.46,7.41,0.0,94.31
34.5,-120.625,15.96,2020-06-02,100.58,5.73,0.0,81.38
34.5,-120.0,19.46,2020-06-02,97.7,3.79,0.01,59.59
35.0,-124.375,15.06,2020-06-02,101.76,8.73,0.05,87.41
35.0,-123.75,15.0,2020-06-02,101.69,8.3,0.02,89.04
35.0,-123.125,14.91,2020-06-02,101.63,7.87,0.0,90.66
35.0,-122.5,14.69,2020-06-02,101.57,7.55,0.0,92.43
35.0,-121.875,14.34,2020-06-02,101.5,7.53,0.0,94.38
35.0,-121.25,14.48,2020-06-02,101.34,6.12,0.0,93.26
35.0,-120.625,17.73,2020-06-02,99.16,3.33,0.0,68.57
35.0,-120.0,21.38,2020-06-02,94.26,2.92,0.0,48.71
35.5,-124.375,14.99,2020-06-02,101.75,9.08,0.02,87.85
35.5,-123.75,14.8,2020-06-02,101.68,8.42,0.0,89.95
35.5,-123.125,14.74,2020-06-02,101.62,7.75,0.0,91.47
35.5,-122.5,14.52,2020-06-02,101.56,7.37,0.01,93.25
35.5,-121.875,14.36,2020-06-02,101.42,6.7,0.0,92.99
35.5,-121.25,16.21,2020-06-02,100.4,3.65,0.0,76.56
35.5,-120.625,21.01,2020-06-02,97.55,2.18,0.0,50.5
35.5,-120.0,23.46,2020-06-02,96.79,2.28,0.0,43.87
36.0,-124.375,14.82,2020-06-02,101.74,9.41,0.0,88.71
36.0,-123.75,14.5,2020-06-02,101.67,8.44,0.0,90.89
