incident_id,date,lat,lon,state,type
{0D0AD868-125C-452D-BD8E-4EA0197296CD},2023-07-05,39.501565,-121.571141,US-CA,WF
{0D320D8E-ABF7-413B-9D3C-16F495DE250F},2023-07-24,34.57944,-118.11645,US-CA,WF
{0D36D85D-488B-4F9D-837D-903EB2BED0B2},2023-07-13,33.91632,-118.26421,US-CA,WF
{0D521648-4FF6-43BC-B85B-028A7008602E},2023-07-27,34.20406,-118.13067,US-CA,WF
{0D5F5FA5-973D-4B29-8038-A5FCECD04D4B},2023-07-04,36.98297,-120.073977,US-CA,WF
{0D7D71B2-3E3A-4A48-BD5D-176256612ADF},2023-07-21,39.322343,-121.503794,US-CA,WF
{0D81B99D-3CDC-4E61-81F5-3F9075D72901},2023-07-17,34.64584,-118.15258,US-CA,WF
{0DB1CAC0-452C-4F55-8DEC-A67CBB304D65},2023-07-14,34.013978,-117.377746,US-CA,WF
{0DBD1091-5E21-4DA5-ABC6-FE8DF565E1F5},2023-07-06,38.384988,-120.78579,US-CA,WF
{0DC52229-8994-4002-AE8E-49E2F53D76CB},2023-07-07,33.91699,-117.274201,US-CA,WF
{0DD11301-4241-42DD-9971-40CDA0ED1F99},2023-07-19,33.907183,-117.252228,US-CA,WF
{0DD22611-7B2E-443E-BE33-640A527B759F},2023-07-07,34.68216,-118.13409,US-CA,WF
{0DE60051-BE1C-4F42-9ACD-E9B549A7DE66},2023-07-17,33.756323,-117.273098,US-CA,WF
{0E065ADA-E38E-4249-B2D0-1C3C612D4F56},2023-07-28,34.17826,-117.67486,US-CA,WF
{0E66F991-530A-4540-87D1-5A284C888CB0},2023-07-03,33.56467,-116.169638,US-CA,WF
{0E82FEE4-EEF9-4556-8D39-CDBC08653249},2023-07-29,37.719811,-121.699737,US-CA,WF
{0EB9CA96-1D24-4C66-8A5E-3BF04D412EC2},2023-07-25,33.9616,-118.3695,US-CA,WF
{0ECB2D4F-270B-46BA-A591-D67D2426E27B},2023-07-10,39.450062,-121.655765,US-CA,WF
{0ECCC693-F40A-44F2-AF67-F500E96E5283},2023-07-07,33.76722,-117.453306,US-CA,WF
{0EDE8C9D-611E-4531-8186-59E6F4DB9EFB},2023-07-05,33.9819,-118.23369,US-CA,WF
{0F3614E2-2AA0-4443-BCD5-3EFE868A4319},2023-07-04,34.42092,-118.46702,US-CA,WF
{0F542E2D-2AAA-49F8-8385-3694E80C0132},2023-07-20,36.203218,-121.140628,US-CA,WF
{0FA0181F-B6A0-417F-B28A-38E23441C337},2023-07-14,37.941953,-120.38843,US-CA,WF
