grid_id,lon,lat
CA5K_00404,-123.67534207820933,39.33784443065251
CA5K_00405,-123.677593336945,39.38280364484319
CA5K_00406,-123.6798473539139,39.42776378894911
CA5K_00407,-123.68210413418568,39.472724892900686
CA5K_00408,-123.68436368284239,39.517686986692446
CA5K_00409,-123.68662600497849,39.56265010038351
CA5K_00410,-123.688891105701,39.60761426409779
CA5K_00411,-123.69115899012951,39.65257950802455
CA5K_00412,-123.69342966339609,39.69754586241873
CA5K_00413,-123.69570313064555,39.74251335760132
CA5K_00414,-123.69797939703523,39.78748202395959
CA5K_00415,-123.70025846773527,39.83245189194786
CA5K_00416,-123.70254034792846,39.87742299208748
CA5K_00417,-123.70482504281043,39.92239535496748
CA5K_00418,-123.70711255758958,39.967369011244784
CA5K_00419,-123.70940289748718,40.01234399164474
CA5K_00420,-123.71169606773739,40.05732032696155
CA5K_00421,-123.71399207358729,40.102298048058465
CA5K_00422,-123.71629092029696,40.14727718586828
CA5K_00423,-123.71859261313946,40.19225777139393
CA5K_00424,-123.7208971574009,40.23723983570852
CA5K_00425,-123.7232045583805,40.28222340995612
CA5K_00426,-123.72551482139062,40.32720852535188
CA5K_00427,-123.72782795175677,40.37219521318265
CA5K_00428,-123.73014395481768,40.41718350480715
CA5K_00429,-123.73246283592535,40.46217343165669
CA5K_00430,-123.73478460044505,40.507165025235324
CA5K_00431,-123.73710925375545,40.55215831712045
CA5K_00432,-123.73943680124849,40.5971533389631
CA5K_00433,-123.7417672483296,40.642150122488474
CA5K_00434,-123.7441006004177,40.68714869949629
CA5K_00435,-123.74643686294516,40.73214910186123
CA5K_00436,-123.7487760413579,40.77715136153344
CA5K_00437,-123.75111814111547,40.8221555105389
CA5K_00438,-123.753463167691,40.8671615809799
CA5K_00439,-123.75581112657133,40.91216960503533
CA5K_00440,-123.758162023257,40.9571796149613
CA5K_00441,-123.7605158632623,41.00219164309162
CA5K_00442,-123.76287265211535,41.04720572183801
CA5K_00443,-123.7652323953581,41.09222188369083
CA5K_00444,-123.76759509854638,41.13724016121939
CA5K_00445,-123.76996076724994,41.18226058707221
CA5K_00446,-123.77232940705258,41.22728319397799
CA5K_00447,-123.77470102355201,41.272308014745484
CA5K_00448,-123.77707562236007,41.31733508226448
CA5K_00449,-123.77945320910273,41.36236442950578
CA5K_00450,-123.78183378942003,41.40739608952202
CA5K_00451,-123.7842173689663,41.4524300954482
CA5K_00452,-123.78660395341001,41.497466480501735
CA5K_00453,-123.78899354843401,41.54250527798321
CA5K_00454,-123.79138615973544,41.587546521277034
CA5K_00455,-123.79378179302581,41.63259024385159
CA5K_00456,-123.79618045403107,41.67763647925977
CA5K_00457,-123.7985821484916,41.722685261139716
CA5K_00458,-123.80098688216238,41.767736623215065
CA5K_00459,-123.8033946608128,41.81279059929547
CA5K_00460,-123.80580549022702,41.85784722327716
CA5K_00461,-123.80821937620375,41.90290652914347
