date,grid_id
2023-07-30,CA5K_08832
2023-07-04,CA5K_04541
2023-07-02,CA5K_05905
2023-07-19,CA5K_11469
2023-07-10,CA5K_11748
2023-07-16,CA5K_11574
2023-07-20,CA5K_14770
2023-07-02,CA5K_13629
2023-07-14,CA5K_03731
2023-07-04,CA5K_07210
2023-07-15,CA5K_13153
2023-07-26,CA5K_07935
2023-07-04,CA5K_11826
2023-07-19,CA5K_02601
2023-07-18,CA5K_16848
2023-07-25,CA5K_02594
2023-07-15,CA5K_01481
2023-07-30,CA5K_05473
2023-07-05,CA5K_11836
2023-07-29,CA5K_03863
2023-07-27,CA5K_07380
2023-07-05,CA5K_15005
2023-07-09,CA5K_02698
2023-07-05,CA5K_04053
2023-07-24,CA5K_11660
2023-07-13,CA5K_11378
2023-07-27,CA5K_11652
2023-07-04,CA5K_08061
2023-07-21,CA5K_04186
2023-07-17,CA5K_11574
2023-07-14,CA5K_12876
2023-07-06,CA5K_06064
2023-07-07,CA5K_13055
2023-07-19,CA5K_13055
2023-07-07,CA5K_11575
2023-07-17,CA5K_13051
2023-07-28,CA5K_12355
2023-07-03,CA5K_14847
2023-07-29,CA5K_03611
2023-07-25,CA5K_11187
2023-07-10,CA5K_03917
2023-07-07,CA5K_12694
2023-07-05,CA5K_11470
2023-07-04,CA5K_10998
2023-07-20,CA5K_04966
2023-07-14,CA5K_07054
2023-07-15,CA5K_06886
2023-07-13,CA5K_11186
2023-07-04,CA5K_04541
2023-07-05,CA5K_11295
2023-07-30,CA5K_13240
2023-07-18,CA5K_03923
2023-07-24,CA5K_11197
2023-07-05,CA5K_13150
2023-07-22,CA5K_12693
2023-07-04,CA5K_12523
2023-07-25,CA5K_14849
2023-07-04,CA5K_14849
2023-07-09,CA5K_11735
2023-07-16,CA5K_10901
2023-07-14,CA5K_13056
2023-07-18,CA5K_13726
2023-07-15,CA5K_14524
2023-07-01,CA5K_02992
2023-07-22,CA5K_11575
2023-07-05,CA5K_13623
2023-07-04,CA5K_13820
2023-07-22,CA5K_02687
2023-07-27,CA5K_05313
2023-07-30,CA5K_13805
2023-07-15,CA5K_10716
2023-07-02,CA5K_02184
